theta_no,theta_bh,t_no,t_bh,sum_no,sum_bh
0.003122599999187514,26.180089099972975,,,,
0.0011774000013247132,26.867507999995723,,,,
0.0013738999841734767,25.799775299994508,,,,
0.0011790000135079026,25.259983900003135,,,,
0.0012679999927058816,25.047209799988195,,,,
0.0011607000196818262,23.542278800014174,,,,
0.0012146999943070114,23.427109299984295,,,,
0.0012939000152982771,23.33389349997742,,,,
0.001278200012166053,23.3167368999857,,,,
0.0011141999857500196,23.33832100001746,,,,
0.0010457000171300024,23.32209159998456,,,,
0.0011932000052183867,23.378690199984703,,,,
0.0010717999830376357,23.190641499997582,,,,
0.001248900021892041,23.275141899997834,,,,
0.0012344999995548278,23.38270840002224,,,,
0.0012462000013329089,23.40606409998145,,,,
0.0010980000079143792,23.268436999991536,,,,
0.0013222999987192452,23.177381099987542,,,,
0.001248300017323345,23.197948199987877,,,,
0.0013654000067617744,23.164028099999996,,,,
0.0011631000088527799,23.221503400010988,,,,
0.0012562999909278005,23.22005830000853,,,,
0.0012454999960027635,23.091954200004693,,,,
0.0012746999855153263,23.11780939999153,,,,
0.0012719999940600246,23.167311099998187,,,,
0.001249200024176389,23.275507900019875,,,,
0.0013074000016786158,23.223199200001545,,,,
0.0010880999907385558,23.219488899980206,,,,
0.0010895000013988465,23.17868909999379,,,,
0.0011892000038642436,23.292042599990964,,,,
0.0014702999906148762,23.252100199984852,,,,
0.001204700005473569,23.36402919999091,,,,
0.0013189000019337982,23.334805299993604,,,,
0.0011088000028394163,23.23594129999401,,,,
0.0013442000199574977,23.24415919999592,,,,
0.0011372999870218337,23.249752999981865,,,,
0.0011820000072475523,23.343224200012628,,,,
0.0011947999882977456,23.287865799997235,,,,
0.0011971000058110803,23.269794699997874,,,,
0.0010881999915000051,23.27686809998704,,,,
0.0012209000124130398,23.294985199987423,,,,
0.0011678999871946871,23.228793799993582,,,,
0.0012934000114910305,23.363129299978027,,,,
0.001192099996842444,23.215842799982056,,,,
0.0012280000082682818,23.220788299979176,,,,
0.00120900000911206,23.113612099987222,,,,
0.0011642000172287226,23.1858483000251,,,,
0.001116700004786253,23.150407200009795,,,,
0.001229999994393438,23.202545800013468,,,,
0.0012528999941423535,23.3017656999873,,,,
0.0010959999926853925,23.22497900002054,,,,
0.0012942000175826252,23.192637200001627,,,,
0.001122200017562136,23.3403475000232,,,,
0.0011266000219620764,23.279553000000305,,,,
0.0010940000065602362,23.28393770000548,,,,
0.0012038999993819743,23.270298799994634,,,,
0.0009797999809961766,23.210868299996946,,,,
0.0010741000005509704,23.253811799979303,,,,
0.0013534000026993454,23.17786470000283,,,,
0.0010909000120591372,23.23944110001321,,,,
0.001279199990676716,23.27951329998905,,,,
0.001051800005370751,23.27404540000134,,,,
0.001056700013577938,23.136065200000303,,,,
0.0011146999895572662,23.226358100015204,,,,
0.0010420999897178262,23.190270899998723,,,,
0.0011314000003039837,23.317284100019606,,,,
0.0012324000126682222,23.22167719999561,,,,
0.0011337999894749373,23.23170870001195,,,,
0.0011824000102933496,23.16581049998058,,,,
0.0012431000068318099,23.163860600005137,,,,
0.0012454999960027635,23.242214700003387,,,,
0.0010942000080831349,23.217430199991213,,,,
0.0013465999800246209,23.25760340000852,,,,
0.0011458999942988157,23.134421399998246,,,,
0.0010584999981801957,23.15988130000187,,,,
0.0011825999827124178,23.304713899997296,,,,
0.001490199996624142,23.231737599999178,,,,
0.0010861000046133995,23.21626949997153,,,,
0.0011026999854948372,23.125139500014484,,,,
0.0010513000015635043,23.169015699997544,,,,
0.0012512999819591641,23.241292999999132,,,,
0.0012203999795019627,23.30852380002034,,,,
0.0012659999774768949,23.214600300008897,,,,
0.0011830999865196645,23.25822300001164,,,,
0.0012377000239212066,23.183115100022405,,,,
0.0010867000091820955,23.209234599984484,,,,
0.0011889000015798956,23.2393591,,,,
0.0011443999828770757,23.361812099989038,,,,
0.0010806999925989658,23.268547999992734,,,,
0.0011200000008102506,23.14240000001155,,,,
0.0011100999836344272,23.238322999997763,,,,
0.0010537000198382884,23.323879000003217,,,,
0.0012436999822966754,23.258289399993373,,,,
0.0013555000186897814,23.272807899978943,,,,
0.0012163000064902008,23.13426590000745,,,,
0.0011590000067371875,23.251041299983626,,,,
0.001203199994051829,23.15187409997452,,,,
0.0011418999929446727,23.161687199986773,,,,
0.0011501000262796879,23.14639520001947,,,,
0.0011067999876104295,23.213337799999863,,,,
